honitsu,1,2,3,
13,0.11037186,0.315274927,0.462792101,0.62464986
14,0.117257172,0.316813369,0.440933929,0.64516129
15,0.120280096,0.319407991,0.426863027,0.622661123
16,0.12859319,0.317561647,0.429583486,0.584126984
17,0.133576697,0.314263804,0.414683613,0.572186837
18,0.116390258,0.287124953,0.37977999,0.552671756
normaltile 1s,0,1,2,3
0,0.029670971,0.178117048,0.5,
1,0.078736618,0.185195384,0.528795812,0.5
2,0.151604956,0.274984474,0.516743806,0.514285714
3,0.228490463,0.359687769,0.556853933,0.407821229
4,0.299740329,0.424466208,0.569619435,0.360986547
5,0.363853299,0.469705866,0.568144576,0.290978399
6,0.420404282,0.495530779,0.550983971,0.277729258
7,0.460368527,0.512285224,0.521146132,0.228673835
8,0.48757014,0.510778045,0.490060398,0.195089582
9,0.499259272,0.504061666,0.472319583,0.215974441
10,0.497613501,0.490164728,0.457410117,0.243816254
11,0.483244909,0.483174091,0.445716762,0.253479853
12,0.461857499,0.470671078,0.432043796,0.281529699
13,0.435962337,0.464270282,0.43390532,0.350140056
14,0.402767176,0.447537951,0.436661699,0.334914611
15,0.364584265,0.431065908,0.432067324,0.344074844
16,0.321818748,0.397546627,0.424575547,0.372486772
17,0.273063647,0.349642127,0.396565711,0.374734607
18,0.23935455,0.32763641,0.386851755,0.404580153
normaltile,0,1,2,3
0,1657209,1179,22,0
1,1575201,39947,573,8
2,1533967,82121,3673,35
3,1509284,117349,8900,179
4,1426805,138256,15477,446
5,1266821,143064,21359,787
6,1057827,136601,25204,1145
7,839232,121813,26175,1395
8,641399,103683,25001,1507
9,477908,84325,22254,1565
10,351980,68173,19136,1415
11,256340,54529,16156,1365
12,188307,44734,13700,1229
13,138278,37028,11597,1071
14,103499,31356,10065,1054
15,78259,27432,9031,962
16,61053,23967,8187,945
17,40269,19560,7396,942
18,13386,7899,3818,655
dora,0,1,2,3
0,0.000234659,0.014234875,0.245283019,1
1,0.002342556,0.042563143,0.283783784,0.9375
2,0.005021753,0.082612457,0.329268293,0.828125
3,0.010177395,0.123843989,0.378378378,0.911764706
4,0.017089898,0.168239472,0.451600894,0.877887789
5,0.027547737,0.224942751,0.51894136,0.906458797
6,0.038903774,0.278660661,0.56304051,0.928802589
7,0.059018952,0.330118694,0.609750813,0.914407989
8,0.076591718,0.376694336,0.670886076,0.936400541
9,0.096287602,0.442583428,0.694065061,0.934844193
10,0.123128221,0.493840809,0.752102059,0.945121951
11,0.144167649,0.522245969,0.752833638,0.94627383
12,0.167890126,0.554410656,0.78101872,0.947046843
13,0.188777219,0.585696282,0.785714286,0.947727273
14,0.198440009,0.609258533,0.789473684,0.907821229
15,0.224335749,0.628635347,0.783064516,0.891025641
16,0.259805825,0.623955432,0.771271729,0.937743191
17,0.270133164,0.624641834,0.767241379,0.931818182
18,0.209445585,0.568710359,0.736842105,0.881889764
dora,0,1,2,3
0,25569,843,53,5
1,29455,2138,222,16
2,40225,4624,656,64
3,49325,7461,1554,136
4,53950,9855,2686,303
5,52527,11354,3854,449
6,47399,11767,4394,618
7,39733,10784,4615,701
8,30643,9517,4424,739
9,23004,7881,4027,706
10,16495,6332,3449,656
11,11882,5147,2735,577
12,8446,3979,2297,491
13,5970,3174,1876,440
14,4359,2549,1501,358
15,3312,2235,1240,312
16,2575,1795,1093,257
17,1577,1396,812,220
18,487,473,361,127
aka,0,1,2,3
0,0.001982161,0.025,0.242424242,0.5
1,0.009880395,0.076732673,0.289256198,0.571428571
2,0.020766773,0.115600449,0.335135135,0.9
3,0.032279424,0.134961004,0.393162393,0.855421687
4,0.041846007,0.197619048,0.46977661,0.859756098
5,0.055367013,0.235009085,0.515194682,0.892156863
6,0.073381295,0.272744396,0.554767533,0.917910448
7,0.086743196,0.324423587,0.595526219,0.891111111
8,0.103695246,0.363141171,0.622097678,0.907949791
9,0.121333668,0.422120065,0.656290532,0.919191919
10,0.136811963,0.45595158,0.687030546,0.929184549
11,0.156112853,0.509638554,0.706552707,0.943209877
12,0.161073826,0.501022495,0.736956522,0.929155313
13,0.178238342,0.555889423,0.759046778,0.944078947
14,0.182795699,0.549678342,0.732106339,0.9375
15,0.19800885,0.551505547,0.735588972,0.907407407
16,0.220994475,0.566511628,0.719839142,0.933333333
17,0.223360656,0.548974943,0.736672052,0.863095238
18,0.16875,0.5,0.706521739,0.894117647
aka,0,1,2,3
0,1009,280,33,2
1,1923,808,121,7
2,3756,1782,370,30
3,6041,2949,819,83
4,8364,4200,1522,164
5,10313,4953,2106,306
6,11120,5309,2538,402
7,10802,4901,2727,450
8,9634,4406,2498,478
9,7978,3698,2313,495
10,6286,2974,1997,466
11,4785,2490,1755,405
